,id,block,trial,stimA,stimB,choice,condition,rt,age,gender,familiarity,familiarity_health,uniqueness_1,uniqueness_2,uniqueness_3,uniqueness_4,anxiety_1,anxiety_2,anxiety_3,anxiety_4
0, ,citrus,0,stimuli/citrus/5.png,stimuli/citrus/4.png,k,0.0,3.767758199999662,19,male,6,6,6,6,6,7,3,6,2,6
0, ,citrus,1,stimuli/citrus/6.png,stimuli/citrus/ref_image.jpg,k,0.0,3.771874499999285,19,male,6,6,6,6,6,7,3,6,2,6
0, ,citrus,2,stimuli/citrus/ref_image.jpg,stimuli/citrus/3.png,d,0.0,2.6677435000001424,19,male,6,6,6,6,6,7,3,6,2,6
0, ,citrus,3,stimuli/citrus/ref_image.jpg,stimuli/citrus/5.png,d,0.0,1.049215500000173,19,male,6,6,6,6,6,7,3,6,2,6
0, ,citrus,4,stimuli/citrus/6.png,stimuli/citrus/5.png,d,0.0,3.211647200000698,19,male,6,6,6,6,6,7,3,6,2,6
0, ,citrus,5,stimuli/citrus/5.png,stimuli/citrus/3.png,d,0.0,2.4323405999994065,19,male,6,6,6,6,6,7,3,6,2,6
0, ,citrus,6,stimuli/citrus/6.png,stimuli/citrus/1.png,d,0.0,2.7325237000004563,19,male,6,6,6,6,6,7,3,6,2,6
0, ,citrus,7,stimuli/citrus/4.png,stimuli/citrus/6.png,d,0.0,1.5131607000002987,19,male,6,6,6,6,6,7,3,6,2,6
0, ,citrus,8,stimuli/citrus/3.png,stimuli/citrus/3.png,q,0.0,1.0517221000000063,19,male,6,6,6,6,6,7,3,6,2,6
0, ,citrus,9,stimuli/citrus/ref_image.jpg,stimuli/citrus/4.png,k,0.0,2.6630453000007037,19,male,6,6,6,6,6,7,3,6,2,6
0, ,citrus,10,stimuli/citrus/5.png,stimuli/citrus/1.png,d,0.0,1.5118117000001803,19,male,6,6,6,6,6,7,3,6,2,6
0, ,citrus,11,stimuli/citrus/1.png,stimuli/citrus/4.png,k,0.0,0.80738620000011,19,male,6,6,6,6,6,7,3,6,2,6
0, ,citrus,12,stimuli/citrus/3.png,stimuli/citrus/1.png,d,0.0,0.9538640999999188,19,male,6,6,6,6,6,7,3,6,2,6
0, ,citrus,13,stimuli/citrus/3.png,stimuli/citrus/4.png,k,0.0,1.249468999999408,19,male,6,6,6,6,6,7,3,6,2,6
0, ,citrus,14,stimuli/citrus/3.png,stimuli/citrus/6.png,k,0.0,2.1302117000004728,19,male,6,6,6,6,6,7,3,6,2,6
0, ,citrus,15,stimuli/citrus/ref_image.jpg,stimuli/citrus/1.png,d,0.0,1.3969282000007297,19,male,6,6,6,6,6,7,3,6,2,6
0, ,dog1,0,stimuli/dogs/dog7.png,stimuli/dogs/dog6.png,timeout,0.0,4.0,19,male,6,6,6,6,6,7,3,6,2,6
0, ,dog1,1,stimuli/dogs/dog5.png,stimuli/dogs/dog5.png,q,0.0,3.483475200000612,19,male,6,6,6,6,6,7,3,6,2,6
0, ,dog1,2,stimuli/dogs/dog6.png,stimuli/dogs/dog5.png,k,0.0,3.481153499999891,19,male,6,6,6,6,6,7,3,6,2,6
0, ,dog1,3,stimuli/dogs/dog8.png,stimuli/dogs/dog7.png,k,0.0,2.4559854999997697,19,male,6,6,6,6,6,7,3,6,2,6
0, ,dog1,4,stimuli/dogs/dog1.png,stimuli/dogs/dog6.png,k,0.0,1.9212781999995059,19,male,6,6,6,6,6,7,3,6,2,6
0, ,dog1,5,stimuli/dogs/dog4.png,stimuli/dogs/dog8.png,d,0.0,1.4910937000004196,19,male,6,6,6,6,6,7,3,6,2,6
0, ,dog1,6,stimuli/dogs/dog3.png,stimuli/dogs/dog7.png,timeout,0.0,4.0,19,male,6,6,6,6,6,7,3,6,2,6
0, ,dog1,7,stimuli/dogs/dog4.png,stimuli/dogs/dog3.png,k,0.0,2.326109699999506,19,male,6,6,6,6,6,7,3,6,2,6
