,id,block,trial,stimA,stimB,choice,condition,rt,age,gender,familiarity,familiarity_health,uniqueness_1,uniqueness_2,uniqueness_3,uniqueness_4,anxiety_1,anxiety_2,anxiety_3,anxiety_4
0,,citrus,0,stimuli/citrus/3.png,stimuli/citrus/5.png,timeout,0.0,4.0,19,male,6,7,2,2,6,2,3,7,2,6
0,,citrus,1,stimuli/citrus/1.png,stimuli/citrus/ref_image.jpg,k,0.0,1.6367436000000453,19,male,6,7,2,2,6,2,3,7,2,6
0,,citrus,2,stimuli/citrus/ref_image.jpg,stimuli/citrus/5.png,k,0.0,1.443431000000146,19,male,6,7,2,2,6,2,3,7,2,6
0,,citrus,3,stimuli/citrus/5.png,stimuli/citrus/4.png,k,0.0,1.1988145000000259,19,male,6,7,2,2,6,2,3,7,2,6
0,,citrus,4,stimuli/citrus/4.png,stimuli/citrus/4.png,q,0.0,1.520831299999827,19,male,6,7,2,2,6,2,3,7,2,6
0,,citrus,5,stimuli/citrus/4.png,stimuli/citrus/6.png,k,0.0,1.1580840999999964,19,male,6,7,2,2,6,2,3,7,2,6
0,,citrus,6,stimuli/citrus/1.png,stimuli/citrus/6.png,k,0.0,1.1069092000002456,19,male,6,7,2,2,6,2,3,7,2,6
0,,citrus,7,stimuli/citrus/1.png,stimuli/citrus/3.png,k,0.0,0.8899859999996806,19,male,6,7,2,2,6,2,3,7,2,6
0,,citrus,8,stimuli/citrus/1.png,stimuli/citrus/4.png,k,0.0,0.7796677000001182,19,male,6,7,2,2,6,2,3,7,2,6
0,,citrus,9,stimuli/citrus/ref_image.jpg,stimuli/citrus/6.png,k,0.0,1.4104232999998203,19,male,6,7,2,2,6,2,3,7,2,6
0,,citrus,10,stimuli/citrus/4.png,stimuli/citrus/ref_image.jpg,k,0.0,3.06066409999994,19,male,6,7,2,2,6,2,3,7,2,6
0,,citrus,11,stimuli/citrus/ref_image.jpg,stimuli/citrus/3.png,k,0.0,1.5248743000001923,19,male,6,7,2,2,6,2,3,7,2,6
0,,citrus,12,stimuli/citrus/5.png,stimuli/citrus/1.png,d,0.0,2.027380699999867,19,male,6,7,2,2,6,2,3,7,2,6
0,,citrus,13,stimuli/citrus/3.png,stimuli/citrus/4.png,d,0.0,1.0362640000003012,19,male,6,7,2,2,6,2,3,7,2,6
0,,citrus,14,stimuli/citrus/6.png,stimuli/citrus/5.png,k,0.0,1.630181900000025,19,male,6,7,2,2,6,2,3,7,2,6
0,,citrus,15,stimuli/citrus/3.png,stimuli/citrus/6.png,k,0.0,3.0294785999999476,19,male,6,7,2,2,6,2,3,7,2,6
0,,dog1,0,stimuli/dogs/dog8.png,stimuli/dogs/dog7.png,d,0.0,1.287184100000104,19,male,6,7,2,2,6,2,3,7,2,6
0,,dog1,1,stimuli/dogs/dog2.png,stimuli/dogs/dog7.png,k,0.0,0.7826159000001098,19,male,6,7,2,2,6,2,3,7,2,6
0,,dog1,2,stimuli/dogs/dog7.png,stimuli/dogs/dog5.png,k,0.0,0.9579063000001042,19,male,6,7,2,2,6,2,3,7,2,6
0,,dog1,3,stimuli/dogs/dog6.png,stimuli/dogs/dog8.png,k,0.0,0.7248992999998336,19,male,6,7,2,2,6,2,3,7,2,6
0,,dog1,4,stimuli/dogs/dog1.png,stimuli/dogs/dog7.png,k,0.0,3.1489344999999958,19,male,6,7,2,2,6,2,3,7,2,6
0,,dog1,5,stimuli/dogs/dog5.png,stimuli/dogs/dog3.png,d,0.0,2.192943799999739,19,male,6,7,2,2,6,2,3,7,2,6
0,,dog1,6,stimuli/dogs/dog6.png,stimuli/dogs/dog7.png,timeout,0.0,4.0,19,male,6,7,2,2,6,2,3,7,2,6
0,,dog1,7,stimuli/dogs/dog2.png,stimuli/dogs/dog4.png,k,0.0,1.889862699999867,19,male,6,7,2,2,6,2,3,7,2,6
0,,dog1,8,stimuli/dogs/dog1.png,stimuli/dogs/dog2.png,k,0.0,0.9766064999998889,19,male,6,7,2,2,6,2,3,7,2,6
0,,dog1,9,stimuli/dogs/dog3.png,stimuli/dogs/dog2.png,timeout,0.0,4.0,19,male,6,7,2,2,6,2,3,7,2,6
0,,dog1,10,stimuli/dogs/dog4.png,stimuli/dogs/dog8.png,k,0.0,1.1886233000000175,19,male,6,7,2,2,6,2,3,7,2,6
0,,dog1,11,stimuli/dogs/dog4.png,stimuli/dogs/dog3.png,d,0.0,2.5142825999996603,19,male,6,7,2,2,6,2,3,7,2,6
0,,dog1,12,stimuli/dogs/dog1.png,stimuli/dogs/dog6.png,k,0.0,1.1416207999996004,19,male,6,7,2,2,6,2,3,7,2,6
0,,dog1,13,stimuli/dogs/dog4.png,stimuli/dogs/dog7.png,k,0.0,1.3353097999997772,19,male,6,7,2,2,6,2,3,7,2,6
0,,dog1,14,stimuli/dogs/dog5.png,stimuli/dogs/dog4.png,d,0.0,2.122350600000118,19,male,6,7,2,2,6,2,3,7,2,6
0,,dog1,15,stimuli/dogs/dog8.png,stimuli/dogs/dog1.png,d,0.0,0.8018526999999267,19,male,6,7,2,2,6,2,3,7,2,6
0,,dog1,16,stimuli/dogs/dog2.png,stimuli/dogs/dog5.png,k,0.0,0.861673499999597,19,male,6,7,2,2,6,2,3,7,2,6
0,,dog1,17,stimuli/dogs/dog1.png,stimuli/dogs/dog3.png,k,0.0,1.6095550999998522,19,male,6,7,2,2,6,2,3,7,2,6
0,,dog1,18,stimuli/dogs/dog3.png,stimuli/dogs/dog6.png,k,0.0,0.9456139999997504,19,male,6,7,2,2,6,2,3,7,2,6
0,,dog1,19,stimuli/dogs/dog4.png,stimuli/dogs/dog6.png,k,0.0,1.9060551000002306,19,male,6,7,2,2,6,2,3,7,2,6
0,,dog1,20,stimuli/dogs/dog8.png,stimuli/dogs/dog3.png,d,0.0,0.8202451999995901,19,male,6,7,2,2,6,2,3,7,2,6
0,,dog1,21,stimuli/dogs/dog7.png,stimuli/dogs/dog3.png,d,0.0,1.0829743999997845,19,male,6,7,2,2,6,2,3,7,2,6
0,,dog1,22,stimuli/dogs/dog8.png,stimuli/dogs/dog2.png,d,0.0,0.6452210999996169,19,male,6,7,2,2,6,2,3,7,2,6
0,,dog1,23,stimuli/dogs/dog4.png,stimuli/dogs/dog4.png,timeout,0.0,4.0,19,male,6,7,2,2,6,2,3,7,2,6
0,,dog1,24,stimuli/dogs/dog6.png,stimuli/dogs/dog2.png,d,0.0,3.2017454000001635,19,male,6,7,2,2,6,2,3,7,2,6
0,,dog1,25,stimuli/dogs/dog4.png,stimuli/dogs/dog1.png,d,0.0,1.1163183999997273,19,male,6,7,2,2,6,2,3,7,2,6
0,,dog1,26,stimuli/dogs/dog5.png,stimuli/dogs/dog6.png,k,0.0,0.7842156000001523,19,male,6,7,2,2,6,2,3,7,2,6
0,,dog1,27,stimuli/dogs/dog1.png,stimuli/dogs/dog5.png,k,0.0,0.6273510999999417,19,male,6,7,2,2,6,2,3,7,2,6
0,,dog1,28,stimuli/dogs/dog5.png,stimuli/dogs/dog8.png,k,0.0,1.0149325000002136,19,male,6,7,2,2,6,2,3,7,2,6
0,,dog2,0,stimuli/dogs/dog4.png,stimuli/dogs/dog5.png,timeout,0.0,4.0,19,male,6,7,2,2,6,2,3,7,2,6
0,,dog2,1,stimuli/dogs/dog5.png,stimuli/dogs/dog6.png,d,0.0,2.423973799999658,19,male,6,7,2,2,6,2,3,7,2,6
0,,dog2,2,stimuli/dogs/dog3.png,stimuli/dogs/dog5.png,d,0.0,1.1771049999997558,19,male,6,7,2,2,6,2,3,7,2,6
0,,dog2,3,stimuli/dogs/dog6.png,stimuli/dogs/dog2.png,k,0.0,0.9124946000001728,19,male,6,7,2,2,6,2,3,7,2,6
0,,dog2,4,stimuli/dogs/dog4.png,stimuli/dogs/dog3.png,d,0.0,0.7010003000000324,19,male,6,7,2,2,6,2,3,7,2,6
0,,dog2,5,stimuli/dogs/dog4.png,stimuli/dogs/dog1.png,k,0.0,0.7719793000001118,19,male,6,7,2,2,6,2,3,7,2,6
0,,dog2,6,stimuli/dogs/dog6.png,stimuli/dogs/dog3.png,k,0.0,0.8274537000002056,19,male,6,7,2,2,6,2,3,7,2,6
0,,dog2,7,stimuli/dogs/dog5.png,stimuli/dogs/dog7.png,d,0.0,0.6631100999998125,19,male,6,7,2,2,6,2,3,7,2,6
0,,dog2,8,stimuli/dogs/dog7.png,stimuli/dogs/dog4.png,k,0.0,0.6936385999997583,19,male,6,7,2,2,6,2,3,7,2,6
0,,dog2,9,stimuli/dogs/dog7.png,stimuli/dogs/dog8.png,k,0.0,0.928538899999694,19,male,6,7,2,2,6,2,3,7,2,6
0,,dog2,10,stimuli/dogs/dog6.png,stimuli/dogs/dog8.png,d,0.0,1.1064154999999118,19,male,6,7,2,2,6,2,3,7,2,6
0,,dog2,11,stimuli/dogs/dog6.png,stimuli/dogs/dog4.png,k,0.0,0.5957714000001033,19,male,6,7,2,2,6,2,3,7,2,6
0,,dog2,12,stimuli/dogs/dog7.png,stimuli/dogs/dog2.png,k,0.0,0.8288852000000588,19,male,6,7,2,2,6,2,3,7,2,6
0,,dog2,13,stimuli/dogs/dog1.png,stimuli/dogs/dog6.png,d,0.0,0.651463899999726,19,male,6,7,2,2,6,2,3,7,2,6
0,,dog2,14,stimuli/dogs/dog2.png,stimuli/dogs/dog1.png,k,0.0,0.5510047000002487,19,male,6,7,2,2,6,2,3,7,2,6
0,,dog2,15,stimuli/dogs/dog1.png,stimuli/dogs/dog8.png,d,0.0,0.8780153000002429,19,male,6,7,2,2,6,2,3,7,2,6
0,,dog2,16,stimuli/dogs/dog2.png,stimuli/dogs/dog4.png,k,0.0,2.9075090000001182,19,male,6,7,2,2,6,2,3,7,2,6
0,,dog2,17,stimuli/dogs/dog2.png,stimuli/dogs/dog5.png,d,0.0,1.4361467000003358,19,male,6,7,2,2,6,2,3,7,2,6
0,,dog2,18,stimuli/dogs/dog1.png,stimuli/dogs/dog3.png,d,0.0,0.8586040000000139,19,male,6,7,2,2,6,2,3,7,2,6
0,,dog2,19,stimuli/dogs/dog2.png,stimuli/dogs/dog2.png,q,0.0,2.5320042000003014,19,male,6,7,2,2,6,2,3,7,2,6
0,,dog2,20,stimuli/dogs/dog8.png,stimuli/dogs/dog3.png,k,0.0,3.2026567999996587,19,male,6,7,2,2,6,2,3,7,2,6
0,,dog2,21,stimuli/dogs/dog4.png,stimuli/dogs/dog8.png,d,0.0,1.1970117999999275,19,male,6,7,2,2,6,2,3,7,2,6
0,,dog2,22,stimuli/dogs/dog7.png,stimuli/dogs/dog1.png,d,0.0,1.4037701000002016,19,male,6,7,2,2,6,2,3,7,2,6
0,,dog2,23,stimuli/dogs/dog3.png,stimuli/dogs/dog2.png,k,0.0,0.7048366999997597,19,male,6,7,2,2,6,2,3,7,2,6
0,,dog2,24,stimuli/dogs/dog5.png,stimuli/dogs/dog8.png,d,0.0,0.7362369000002218,19,male,6,7,2,2,6,2,3,7,2,6
0,,dog2,25,stimuli/dogs/dog8.png,stimuli/dogs/dog2.png,k,0.0,1.1092100999999275,19,male,6,7,2,2,6,2,3,7,2,6
0,,dog2,26,stimuli/dogs/dog1.png,stimuli/dogs/dog5.png,d,0.0,0.7367839999997159,19,male,6,7,2,2,6,2,3,7,2,6
0,,dog2,27,stimuli/dogs/dog3.png,stimuli/dogs/dog7.png,d,0.0,0.9652714999997443,19,male,6,7,2,2,6,2,3,7,2,6
