,Unnamed: 0.1,Unnamed: 0,id,condition,block,trial,stimA,stimB,choice,rt,age,gender,familiarity,familiarity_health,uniqueness_1,uniqueness_2,uniqueness_3,uniqueness_4,anxiety_1,anxiety_2,anxiety_3,anxiety_4
0,0,0.0,,2,citrus,0,stimuli/citrus/4.png,stimuli/citrus/6.png,timeout,4,19,female,1,2,1,1,7,1,6,3,3,6
1,1,0.0,,2,citrus,1,stimuli/citrus/ref_image.jpg,stimuli/citrus/6.png,d,0.7020250000000487,19,female,1,2,1,1,7,1,6,3,3,6
2,2,0.0,,2,citrus,2,stimuli/citrus/ref_image.jpg,stimuli/citrus/4.png,k,1.9538036999999804,19,female,1,2,1,1,7,1,6,3,3,6
3,3,0.0,,2,citrus,3,stimuli/citrus/ref_image.jpg,stimuli/citrus/3.png,d,1.3020704000000478,19,female,1,2,1,1,7,1,6,3,3,6
4,4,0.0,,2,citrus,4,stimuli/citrus/1.png,stimuli/citrus/ref_image.jpg,k,1.4331810999999561,19,female,1,2,1,1,7,1,6,3,3,6
5,5,0.0,,2,citrus,5,stimuli/citrus/4.png,stimuli/citrus/3.png,d,1.5923872999999276,19,female,1,2,1,1,7,1,6,3,3,6
6,6,0.0,,2,citrus,6,stimuli/citrus/4.png,stimuli/citrus/5.png,d,1.2944185999999718,19,female,1,2,1,1,7,1,6,3,3,6
7,7,0.0,,2,citrus,7,stimuli/citrus/ref_image.jpg,stimuli/citrus/ref_image.jpg,q,3.320205999999871,19,female,1,2,1,1,7,1,6,3,3,6
8,8,0.0,,2,citrus,8,stimuli/citrus/1.png,stimuli/citrus/5.png,d,2.2207409999998617,19,female,1,2,1,1,7,1,6,3,3,6
9,9,0.0,,2,citrus,9,stimuli/citrus/1.png,stimuli/citrus/3.png,d,0.7548825000001216,19,female,1,2,1,1,7,1,6,3,3,6
10,10,0.0,,2,citrus,10,stimuli/citrus/4.png,stimuli/citrus/1.png,d,1.127721000000065,19,female,1,2,1,1,7,1,6,3,3,6
11,11,0.0,,2,citrus,11,stimuli/citrus/6.png,stimuli/citrus/1.png,k,1.2596571999999924,19,female,1,2,1,1,7,1,6,3,3,6
12,12,0.0,,2,citrus,12,stimuli/citrus/6.png,stimuli/citrus/5.png,d,0.6669282000000294,19,female,1,2,1,1,7,1,6,3,3,6
13,13,0.0,,2,citrus,13,stimuli/citrus/3.png,stimuli/citrus/6.png,d,1.9750067999998464,19,female,1,2,1,1,7,1,6,3,3,6
14,14,0.0,,2,citrus,14,stimuli/citrus/3.png,stimuli/citrus/5.png,d,1.5702708999999686,19,female,1,2,1,1,7,1,6,3,3,6
