,id,block,trial,stimA,stimB,choice,condition,rt,age,gender,familiarity,familiarity_health,uniqueness_1,uniqueness_2,uniqueness_3,uniqueness_4,anxiety_1,anxiety_2,anxiety_3,anxiety_4
0,44128,citrus,0,stimuli/citrus/5.png,stimuli/citrus/3.png,k,2.0,3.8734260000001086, 24,female,7,4,1,2,6,1,4,4,3,4
0,44128,citrus,1,stimuli/citrus/3.png,stimuli/citrus/1.png,d,2.0,3.2029560000000856, 24,female,7,4,1,2,6,1,4,4,3,4
0,44128,citrus,2,stimuli/citrus/4.png,stimuli/citrus/3.png,timeout,2.0,4.0, 24,female,7,4,1,2,6,1,4,4,3,4
0,44128,citrus,3,stimuli/citrus/ref_image.jpg,stimuli/citrus/1.png,d,2.0,1.5504987999993318, 24,female,7,4,1,2,6,1,4,4,3,4
0,44128,citrus,4,stimuli/citrus/5.png,stimuli/citrus/1.png,k,2.0,1.6360491000004913, 24,female,7,4,1,2,6,1,4,4,3,4
0,44128,citrus,5,stimuli/citrus/6.png,stimuli/citrus/ref_image.jpg,k,2.0,1.443446600000243, 24,female,7,4,1,2,6,1,4,4,3,4
0,44128,citrus,6,stimuli/citrus/ref_image.jpg,stimuli/citrus/5.png,d,2.0,1.2764181000002282, 24,female,7,4,1,2,6,1,4,4,3,4
0,44128,citrus,7,stimuli/citrus/6.png,stimuli/citrus/5.png,d,2.0,1.2431930000002467, 24,female,7,4,1,2,6,1,4,4,3,4
0,44128,citrus,8,stimuli/citrus/6.png,stimuli/citrus/3.png,k,2.0,1.0770445000007385, 24,female,7,4,1,2,6,1,4,4,3,4
0,44128,citrus,9,stimuli/citrus/1.png,stimuli/citrus/6.png,k,2.0,2.1317221999997855, 24,female,7,4,1,2,6,1,4,4,3,4
0,44128,citrus,10,stimuli/citrus/1.png,stimuli/citrus/4.png,k,2.0,1.4223655999994662, 24,female,7,4,1,2,6,1,4,4,3,4
0,44128,citrus,11,stimuli/citrus/4.png,stimuli/citrus/5.png,d,2.0,0.878982399999586, 24,female,7,4,1,2,6,1,4,4,3,4
0,44128,citrus,12,stimuli/citrus/4.png,stimuli/citrus/6.png,d,2.0,1.3067164000003686, 24,female,7,4,1,2,6,1,4,4,3,4
0,44128,citrus,13,stimuli/citrus/1.png,stimuli/citrus/1.png,q,2.0,3.608693299999686, 24,female,7,4,1,2,6,1,4,4,3,4
0,44128,citrus,14,stimuli/citrus/3.png,stimuli/citrus/ref_image.jpg,k,2.0,3.1880787000000055, 24,female,7,4,1,2,6,1,4,4,3,4
0,44128,citrus,15,stimuli/citrus/ref_image.jpg,stimuli/citrus/4.png,d,2.0,1.5077736000002915, 24,female,7,4,1,2,6,1,4,4,3,4
0,44128,dog1,0,stimuli/dogs/dog7.png,stimuli/dogs/dog4.png,timeout,2.0,4.0, 24,female,7,4,1,2,6,1,4,4,3,4
0,44128,dog1,1,stimuli/dogs/dog4.png,stimuli/dogs/dog3.png,k,2.0,0.8835420000004888, 24,female,7,4,1,2,6,1,4,4,3,4
0,44128,dog1,2,stimuli/dogs/dog3.png,stimuli/dogs/dog7.png,k,2.0,2.2627351000001, 24,female,7,4,1,2,6,1,4,4,3,4
0,44128,dog1,3,stimuli/dogs/dog8.png,stimuli/dogs/dog1.png,d,2.0,1.3687331999999515, 24,female,7,4,1,2,6,1,4,4,3,4
0,44128,dog1,4,stimuli/dogs/dog4.png,stimuli/dogs/dog6.png,k,2.0,1.9032686999998987, 24,female,7,4,1,2,6,1,4,4,3,4
0,44128,dog1,5,stimuli/dogs/dog6.png,stimuli/dogs/dog3.png,d,2.0,1.6434562000004007, 24,female,7,4,1,2,6,1,4,4,3,4
0,44128,dog1,6,stimuli/dogs/dog2.png,stimuli/dogs/dog4.png,k,2.0,1.5722406999993837, 24,female,7,4,1,2,6,1,4,4,3,4
0,44128,dog1,7,stimuli/dogs/dog1.png,stimuli/dogs/dog1.png,q,2.0,3.427509799999825, 24,female,7,4,1,2,6,1,4,4,3,4
0,44128,dog1,8,stimuli/dogs/dog6.png,stimuli/dogs/dog8.png,d,2.0,2.926151800000298, 24,female,7,4,1,2,6,1,4,4,3,4
0,44128,dog1,9,stimuli/dogs/dog6.png,stimuli/dogs/dog5.png,k,2.0,2.9191214999991644, 24,female,7,4,1,2,6,1,4,4,3,4
0,44128,dog1,10,stimuli/dogs/dog7.png,stimuli/dogs/dog6.png,timeout,2.0,4.0, 24,female,7,4,1,2,6,1,4,4,3,4
0,44128,dog1,11,stimuli/dogs/dog5.png,stimuli/dogs/dog7.png,k,2.0,1.3402179999993677, 24,female,7,4,1,2,6,1,4,4,3,4
0,44128,dog1,12,stimuli/dogs/dog5.png,stimuli/dogs/dog8.png,k,2.0,3.1323637000004965, 24,female,7,4,1,2,6,1,4,4,3,4
0,44128,dog1,13,stimuli/dogs/dog6.png,stimuli/dogs/dog2.png,d,2.0,2.0203789999995934, 24,female,7,4,1,2,6,1,4,4,3,4
