,id,condition,block,trial,stimA,stimB,choice,rt
0,44545,0,citrus,0,stimuli/citrus/ref_image.jpg,stimuli/citrus/6.png,timeout,4
0,44545,0,citrus,1,stimuli/citrus/5.png,stimuli/citrus/5.png,q,2.5781190000002425
0,44545,0,citrus,2,stimuli/citrus/4.png,stimuli/citrus/3.png,k,1.663387099999909
0,44545,0,citrus,3,stimuli/citrus/3.png,stimuli/citrus/5.png,d,1.4579735000002074
0,44545,0,citrus,4,stimuli/citrus/1.png,stimuli/citrus/ref_image.jpg,k,1.2579808999998932
0,44545,0,citrus,5,stimuli/citrus/5.png,stimuli/citrus/1.png,d,0.9721979000000829
0,44545,0,citrus,6,stimuli/citrus/ref_image.jpg,stimuli/citrus/4.png,k,0.9541950000002544
0,44545,0,citrus,7,stimuli/citrus/4.png,stimuli/citrus/1.png,d,0.6835275999997066
0,44545,0,citrus,8,stimuli/citrus/4.png,stimuli/citrus/6.png,d,0.9221193000003041
0,44545,0,citrus,9,stimuli/citrus/6.png,stimuli/citrus/1.png,d,2.0980408000000352
0,44545,0,citrus,10,stimuli/citrus/3.png,stimuli/citrus/1.png,d,0.6828653999996277
0,44545,0,citrus,11,stimuli/citrus/6.png,stimuli/citrus/5.png,k,0.9410274000001664
0,44545,0,citrus,12,stimuli/citrus/3.png,stimuli/citrus/ref_image.jpg,k,0.6327392000002874
0,44545,0,citrus,13,stimuli/citrus/5.png,stimuli/citrus/ref_image.jpg,k,0.8246383000000606
0,44545,0,citrus,14,stimuli/citrus/3.png,stimuli/citrus/6.png,d,0.9933737000001202
0,44545,0,citrus,15,stimuli/citrus/5.png,stimuli/citrus/4.png,k,0.6961295000000973
0,44545,0,dog1,0,stimuli/dogs/dog8.png,stimuli/dogs/dog7.png,d,2.8444675999999163
0,44545,0,dog1,1,stimuli/dogs/dog3.png,stimuli/dogs/dog3.png,q,3.3149920999999267
0,44545,0,dog1,2,stimuli/dogs/dog8.png,stimuli/dogs/dog2.png,timeout,4
0,44545,0,dog1,3,stimuli/dogs/dog8.png,stimuli/dogs/dog3.png,d,0.513287599999785
0,44545,0,dog1,4,stimuli/dogs/dog6.png,stimuli/dogs/dog7.png,d,1.6458041999999296
0,44545,0,dog1,5,stimuli/dogs/dog7.png,stimuli/dogs/dog3.png,d,1.6111018999999942
0,44545,0,dog1,6,stimuli/dogs/dog5.png,stimuli/dogs/dog2.png,d,1.5787298000000192
0,44545,0,dog1,7,stimuli/dogs/dog6.png,stimuli/dogs/dog5.png,d,1.503044399999908
0,44545,0,dog1,8,stimuli/dogs/dog4.png,stimuli/dogs/dog2.png,d,1.3224218000000292
0,44545,0,dog1,9,stimuli/dogs/dog7.png,stimuli/dogs/dog1.png,d,1.2879893999997876
0,44545,0,dog1,10,stimuli/dogs/dog7.png,stimuli/dogs/dog5.png,d,2.580612100000053
0,44545,0,dog1,11,stimuli/dogs/dog3.png,stimuli/dogs/dog5.png,d,2.5818511000002218
0,44545,0,dog1,12,stimuli/dogs/dog4.png,stimuli/dogs/dog6.png,k,0.8951130000000376
0,44545,0,dog1,13,stimuli/dogs/dog1.png,stimuli/dogs/dog6.png,k,0.6904475000001185
0,44545,0,dog1,14,stimuli/dogs/dog8.png,stimuli/dogs/dog1.png,d,1.2026533000002928
0,44545,0,dog1,15,stimuli/dogs/dog7.png,stimuli/dogs/dog2.png,d,0.9156287999999222
0,44545,0,dog1,16,stimuli/dogs/dog3.png,stimuli/dogs/dog2.png,d,0.8373994000003222
0,44545,0,dog1,17,stimuli/dogs/dog6.png,stimuli/dogs/dog8.png,k,0.8524275999998281
0,44545,0,dog1,18,stimuli/dogs/dog3.png,stimuli/dogs/dog1.png,d,0.7093715000000884
0,44545,0,dog1,19,stimuli/dogs/dog8.png,stimuli/dogs/dog5.png,d,0.8888502999998309
0,44545,0,dog1,20,stimuli/dogs/dog3.png,stimuli/dogs/dog4.png,d,0.7790652999997292
0,44545,0,dog1,21,stimuli/dogs/dog4.png,stimuli/dogs/dog8.png,k,0.5302348000000165
0,44545,0,dog1,22,stimuli/dogs/dog1.png,stimuli/dogs/dog2.png,k,2.003813899999841
0,44545,0,dog1,23,stimuli/dogs/dog7.png,stimuli/dogs/dog4.png,d,0.7841655000001992
0,44545,0,dog1,24,stimuli/dogs/dog3.png,stimuli/dogs/dog6.png,k,0.8990116999998463
0,44545,0,dog1,25,stimuli/dogs/dog5.png,stimuli/dogs/dog4.png,d,0.7704302000001917
0,44545,0,dog1,26,stimuli/dogs/dog1.png,stimuli/dogs/dog5.png,k,0.679154699999799
0,44545,0,dog1,27,stimuli/dogs/dog4.png,stimuli/dogs/dog1.png,d,0.6973701000001711
0,44545,0,dog1,28,stimuli/dogs/dog6.png,stimuli/dogs/dog2.png,d,0.5701146999999764
0,44545,0,dog2,0,stimuli/dogs/dog5.png,stimuli/dogs/dog6.png,d,1.8722059000001536
0,44545,0,dog2,1,stimuli/dogs/dog4.png,stimuli/dogs/dog7.png,d,1.6359618999999839
0,44545,0,dog2,2,stimuli/dogs/dog6.png,stimuli/dogs/dog1.png,k,0.6429811999996673
0,44545,0,dog2,3,stimuli/dogs/dog8.png,stimuli/dogs/dog1.png,k,0.5736020000003919
0,44545,0,dog2,4,stimuli/dogs/dog4.png,stimuli/dogs/dog6.png,d,0.9649672999998984
0,44545,0,dog2,5,stimuli/dogs/dog2.png,stimuli/dogs/dog6.png,d,0.6198056999996879
0,44545,0,dog2,6,stimuli/dogs/dog2.png,stimuli/dogs/dog3.png,d,0.7440728999999919
0,44545,0,dog2,7,stimuli/dogs/dog7.png,stimuli/dogs/dog6.png,k,2.3774590000002718
0,44545,0,dog2,8,stimuli/dogs/dog8.png,stimuli/dogs/dog4.png,k,0.9193689999997332
0,44545,0,dog2,9,stimuli/dogs/dog3.png,stimuli/dogs/dog4.png,k,1.3232066000000486
0,44545,0,dog2,10,stimuli/dogs/dog3.png,stimuli/dogs/dog1.png,k,0.7395943999999872
0,44545,0,dog2,11,stimuli/dogs/dog2.png,stimuli/dogs/dog5.png,d,0.8479111999999986
0,44545,0,dog2,12,stimuli/dogs/dog8.png,stimuli/dogs/dog3.png,k,0.9784963000001881
0,44545,0,dog2,13,stimuli/dogs/dog4.png,stimuli/dogs/dog2.png,k,0.6122939000001679
0,44545,0,dog2,14,stimuli/dogs/dog7.png,stimuli/dogs/dog3.png,k,0.9020601000001989
0,44545,0,dog2,15,stimuli/dogs/dog5.png,stimuli/dogs/dog4.png,k,0.8616110000002664
0,44545,0,dog2,16,stimuli/dogs/dog5.png,stimuli/dogs/dog3.png,k,0.6439685000000281
0,44545,0,dog2,17,stimuli/dogs/dog7.png,stimuli/dogs/dog5.png,k,0.7960818999999901
0,44545,0,dog2,18,stimuli/dogs/dog7.png,stimuli/dogs/dog2.png,k,0.6770283999999265
0,44545,0,dog2,19,stimuli/dogs/dog8.png,stimuli/dogs/dog6.png,k,2.349308700000165
0,44545,0,dog2,20,stimuli/dogs/dog3.png,stimuli/dogs/dog6.png,d,0.8177125999995951
0,44545,0,dog2,21,stimuli/dogs/dog7.png,stimuli/dogs/dog8.png,d,0.8603026999999202
0,44545,0,dog2,22,stimuli/dogs/dog8.png,stimuli/dogs/dog2.png,k,0.5628860000001623
0,44545,0,dog2,23,stimuli/dogs/dog5.png,stimuli/dogs/dog1.png,k,0.6840446999999585
0,44545,0,dog2,24,stimuli/dogs/dog1.png,stimuli/dogs/dog4.png,d,0.6959541000001082
