,id,block,trial,stimA,stimB,choice,condition,rt,age,gender,familiarity,familiarity_health,uniqueness_1,uniqueness_2,uniqueness_3,uniqueness_4,anxiety_1,anxiety_2,anxiety_3,anxiety_4
0,lshift,citrus,0,stimuli/citrus/3.png,stimuli/citrus/ref_image.jpg,k,1.0,2.332263699999203,19,male,6,5,2,3,6,3,5,6,7,7
0,lshift,citrus,1,stimuli/citrus/5.png,stimuli/citrus/6.png,k,1.0,1.4425076999996236,19,male,6,5,2,3,6,3,5,6,7,7
0,lshift,citrus,2,stimuli/citrus/3.png,stimuli/citrus/1.png,k,1.0,1.0309735000000728,19,male,6,5,2,3,6,3,5,6,7,7
0,lshift,citrus,3,stimuli/citrus/3.png,stimuli/citrus/4.png,k,1.0,0.9574501000006421,19,male,6,5,2,3,6,3,5,6,7,7
0,lshift,citrus,4,stimuli/citrus/4.png,stimuli/citrus/4.png,q,1.0,2.8933709000002636,19,male,6,5,2,3,6,3,5,6,7,7
0,lshift,citrus,5,stimuli/citrus/4.png,stimuli/citrus/5.png,d,1.0,1.9545372000002317,19,male,6,5,2,3,6,3,5,6,7,7
0,lshift,citrus,6,stimuli/citrus/ref_image.jpg,stimuli/citrus/6.png,d,1.0,1.8749304000002667,19,male,6,5,2,3,6,3,5,6,7,7
0,lshift,citrus,7,stimuli/citrus/ref_image.jpg,stimuli/citrus/5.png,d,1.0,1.1805136000002676,19,male,6,5,2,3,6,3,5,6,7,7
0,lshift,citrus,8,stimuli/citrus/ref_image.jpg,stimuli/citrus/4.png,k,1.0,2.2956076000000394,19,male,6,5,2,3,6,3,5,6,7,7
0,lshift,citrus,9,stimuli/citrus/1.png,stimuli/citrus/ref_image.jpg,d,1.0,0.9376778999994713,19,male,6,5,2,3,6,3,5,6,7,7
0,lshift,citrus,10,stimuli/citrus/5.png,stimuli/citrus/1.png,k,1.0,1.1955594000000929,19,male,6,5,2,3,6,3,5,6,7,7
0,lshift,citrus,11,stimuli/citrus/1.png,stimuli/citrus/6.png,d,1.0,0.6738182999997662,19,male,6,5,2,3,6,3,5,6,7,7
0,lshift,citrus,12,stimuli/citrus/4.png,stimuli/citrus/6.png,d,1.0,0.7085170000000289,19,male,6,5,2,3,6,3,5,6,7,7
0,lshift,citrus,13,stimuli/citrus/1.png,stimuli/citrus/4.png,d,1.0,3.0986810999993395,19,male,6,5,2,3,6,3,5,6,7,7
0,lshift,citrus,14,stimuli/citrus/3.png,stimuli/citrus/6.png,k,1.0,1.7143624000000273,19,male,6,5,2,3,6,3,5,6,7,7
0,lshift,citrus,15,stimuli/citrus/5.png,stimuli/citrus/3.png,d,1.0,1.3442306999995708,19,male,6,5,2,3,6,3,5,6,7,7
0,lshift,dog1,0,stimuli/dogs/dog1.png,stimuli/dogs/dog3.png,k,1.0,1.655911500000002,19,male,6,5,2,3,6,3,5,6,7,7
0,lshift,dog1,1,stimuli/dogs/dog8.png,stimuli/dogs/dog7.png,d,1.0,1.3299887000002855,19,male,6,5,2,3,6,3,5,6,7,7
0,lshift,dog1,2,stimuli/dogs/dog7.png,stimuli/dogs/dog1.png,d,1.0,1.3562419999998383,19,male,6,5,2,3,6,3,5,6,7,7
0,lshift,dog1,3,stimuli/dogs/dog2.png,stimuli/dogs/dog8.png,k,1.0,0.962637900000118,19,male,6,5,2,3,6,3,5,6,7,7
0,lshift,dog1,4,stimuli/dogs/dog2.png,stimuli/dogs/dog1.png,d,1.0,1.8378610999998273,19,male,6,5,2,3,6,3,5,6,7,7
0,lshift,dog1,5,stimuli/dogs/dog4.png,stimuli/dogs/dog2.png,d,1.0,2.0406941000001098,19,male,6,5,2,3,6,3,5,6,7,7
0,lshift,dog1,6,stimuli/dogs/dog8.png,stimuli/dogs/dog3.png,d,1.0,0.8874789000001329,19,male,6,5,2,3,6,3,5,6,7,7
0,lshift,dog1,7,stimuli/dogs/dog8.png,stimuli/dogs/dog1.png,d,1.0,0.645990800000618,19,male,6,5,2,3,6,3,5,6,7,7
0,lshift,dog1,8,stimuli/dogs/dog3.png,stimuli/dogs/dog2.png,d,1.0,1.135297100000571,19,male,6,5,2,3,6,3,5,6,7,7
0,lshift,dog1,9,stimuli/dogs/dog4.png,stimuli/dogs/dog6.png,k,1.0,0.6012418999998772,19,male,6,5,2,3,6,3,5,6,7,7
0,lshift,dog1,10,stimuli/dogs/dog4.png,stimuli/dogs/dog1.png,d,1.0,0.7474233999992066,19,male,6,5,2,3,6,3,5,6,7,7
0,lshift,dog1,11,stimuli/dogs/dog2.png,stimuli/dogs/dog7.png,k,1.0,0.6379670000005717,19,male,6,5,2,3,6,3,5,6,7,7
0,lshift,dog1,12,stimuli/dogs/dog4.png,stimuli/dogs/dog7.png,k,1.0,2.052432999999837,19,male,6,5,2,3,6,3,5,6,7,7
0,lshift,dog1,13,stimuli/dogs/dog3.png,stimuli/dogs/dog7.png,k,1.0,0.6994310000000041,19,male,6,5,2,3,6,3,5,6,7,7
0,lshift,dog1,14,stimuli/dogs/dog6.png,stimuli/dogs/dog2.png,d,1.0,0.8237785999999687,19,male,6,5,2,3,6,3,5,6,7,7
0,lshift,dog1,15,stimuli/dogs/dog5.png,stimuli/dogs/dog7.png,k,1.0,0.6512872000002972,19,male,6,5,2,3,6,3,5,6,7,7
0,lshift,dog1,16,stimuli/dogs/dog6.png,stimuli/dogs/dog7.png,d,1.0,0.42175009999937174,19,male,6,5,2,3,6,3,5,6,7,7
0,lshift,dog1,17,stimuli/dogs/dog3.png,stimuli/dogs/dog5.png,timeout,1.0,4.0,19,male,6,5,2,3,6,3,5,6,7,7
0,lshift,dog1,18,stimuli/dogs/dog5.png,stimuli/dogs/dog2.png,d,1.0,1.6506847000000562,19,male,6,5,2,3,6,3,5,6,7,7
0,lshift,dog1,19,stimuli/dogs/dog3.png,stimuli/dogs/dog4.png,d,1.0,1.5491770999997243,19,male,6,5,2,3,6,3,5,6,7,7
0,lshift,dog1,20,stimuli/dogs/dog8.png,stimuli/dogs/dog5.png,d,1.0,3.3749290000005203,19,male,6,5,2,3,6,3,5,6,7,7
0,lshift,dog1,21,stimuli/dogs/dog6.png,stimuli/dogs/dog8.png,k,1.0,1.0797450000000026,19,male,6,5,2,3,6,3,5,6,7,7
0,lshift,dog1,22,stimuli/dogs/dog6.png,stimuli/dogs/dog3.png,d,1.0,1.0705810999997993,19,male,6,5,2,3,6,3,5,6,7,7
